scenario,draw,npv_usd
base,88,16800080.061721213
base,89,21490532.17812206
base,90,14380719.556908067
base,91,18100834.33336222
base,92,25020566.14092954
base,93,18422841.57781797
base,94,6720161.6255691275
base,95,20261298.874851264
base,96,10330181.192450179
base,97,23550758.699369546
base,98,24591551.719831124
base,99,15017167.133553462
base,100,23862946.76692174
base,101,17485003.048796363
base,102,13164814.709978195
base,103,17124833.914589856
base,104,23186171.29221976
base,105,14688229.02997
base,106,21735622.918429952
base,107,14766102.27072575
base,108,27570948.9022636
base,109,20027376.532041207
base,110,18702943.753019534
base,111,16256025.693551037
base,112,15004533.239216883
base,113,16386135.655382559
base,114,12681352.785766212
base,115,16201226.056424465
base,116,28421225.609759152
base,117,17342385.926935367
base,118,22225778.589597456
base,119,15589323.87412833
base,120,16331265.824114297
base,121,24798846.44832607
base,122,22415734.794474106
base,123,13591720.773191078
base,124,15110139.71466339
base,125,12213037.496207992
base,126,12265868.208907954
base,127,14142298.646536486
base,128,11665117.066175671
base,129,19961357.983701736
base,130,13019447.191867102
base,131,14448936.182132164
base,132,12892481.166714605
base,133,23089890.12321896
base,134,16961018.097428408
base,135,9469559.41691674
base,136,17366269.36896228
base,137,30648850.524957694
base,138,8478616.468380248
base,139,13630377.40326234
base,140,13589724.58735795
base,141,15547958.83119801
base,142,22424421.586086024
base,143,14805530.296008598
base,144,18117905.063836295
base,145,18904977.331776366
base,146,27114294.01919466
base,147,17552233.739209693
base,148,20241594.193696946
base,149,10665885.80540695
base,150,12995384.678958045
base,151,25595003.58715213
base,152,19430124.54258461
base,153,15046070.652421735
base,154,9825299.85722895
base,155,27964084.757727355
base,156,10910391.696892325
base,157,15368581.737039069
base,158,12525810.221984169
base,159,16090215.170844447
base,160,17362307.423913438
base,161,17252161.460727267
base,162,18499601.718314122
base,163,14048493.414753737
base,164,14253240.55280036
base,165,20681591.340391893
base,166,20134849.688035756
base,167,17402866.766355965
base,168,23413606.90331409
base,169,17162768.399590556
base,170,13954203.44309318
base,171,15791463.319342196
base,172,11450421.927688006
base,173,15164396.277723465
base,174,16455669.47425241
base,175,17803903.48564913
base,176,15025114.065259729
base,177,19738295.67553738
base,178,23943242.95014877
base,179,28763178.717441067
base,180,20101500.46962761
base,181,13153961.493713694
base,182,13923155.629191555
base,183,23036900.570894387
base,184,18597970.65628804
base,185,27212749.275675185
base,186,20297734.10748379
base,187,29528372.60997819
base,188,18214073.862589926
base,189,13748418.239524687
base,190,23322574.60122243
base,191,19783819.26785539
base,192,28263978.09502437
base,193,16061300.36329895
base,194,12771387.64571709
base,195,15237320.330301655
base,196,19125829.243619166
base,197,23117935.454430792
base,198,26064580.44201898
base,199,17689740.43396952
base,200,22825558.149050623
base,201,12854936.78352533
base,202,18981922.317752223
base,203,21128195.618761446
base,204,15829625.656126658
base,205,16124601.26084478
base,206,19166473.531442277
base,207,9957595.41425586
base,208,16732594.04785324
base,209,16320961.732310798
base,210,15992190.45463784
base,211,17524384.666882113
base,212,21913636.547080398
base,213,20095581.843000364
base,214,17807987.238907505
base,215,21681656.653666347
base,216,15256403.793890784
base,217,18967310.22195208
base,218,18701059.6789025
base,219,18235055.278591614
base,220,24674847.228047874
base,221,12837251.10061266
