scenario,draw,npv_usd
base,625,5257800.431417367
base,626,3673656.8108385545
base,627,9513553.272353793
base,628,6048840.744770711
base,629,7120854.091107972
base,630,6152754.49590845
base,631,4616324.5608131895
base,632,5423901.575043929
base,633,4195926.844116085
base,634,3875778.2084416975
base,635,5216886.5504471585
base,636,5616136.442461061
base,637,3978165.841083113
base,638,7486618.28679212
base,639,7055257.2542751795
base,640,6596445.472221918
base,641,3755665.9614346134
base,642,10725606.118776679
base,643,6905661.084262794
base,644,10381473.864288663
base,645,1630917.323070284
base,646,9513980.917902132
base,647,5343285.991732242
base,648,4352287.186160982
base,649,5159312.719990486
base,650,5625818.5204798635
base,651,8545914.3512702
base,652,8139369.711750275
base,653,2984077.25945497
base,654,8503811.948675586
base,655,3183709.806596938
base,656,3817949.648939056
base,657,5308329.373330596
base,658,4911539.644398637
base,659,10729210.575258804
base,660,7575952.212691599
base,661,3756279.9205103004
base,662,4125943.371889545
base,663,5443638.766071925
base,664,4823228.189185015
base,665,9368778.981585762
base,666,4472669.898170918
base,667,5453873.088107739
base,668,4044858.341580693
base,669,7874919.871204827
base,670,5294887.3122304175
base,671,8783597.170975799
base,672,10079742.486303603
base,673,6270292.078433096
base,674,4615221.746374472
base,675,6212294.142472923
base,676,7640632.090638161
base,677,6036412.851828075
base,678,7042818.342543218
base,679,5643330.032901647
base,680,6217181.455364205
base,681,5561052.679844364
base,682,5408483.689447889
base,683,5477224.522041591
base,684,5353038.3397680735
base,685,10612085.349732514
base,686,5280408.717271168
base,687,3732739.0371988406
base,688,12413333.113105891
base,689,6136298.305443935
base,690,5945360.679911052
base,691,2362030.701531072
base,692,8939179.346160289
base,693,4078655.663906014
base,694,6098013.659535452
base,695,7852352.954423288
base,696,6571369.257098179
base,697,10102322.395642634
base,698,3581989.608292218
base,699,5396417.184970136
base,700,6822038.88166641
base,701,2773798.193300925
base,702,7865540.728430953
base,703,4476910.5575102
base,704,6309016.4424261125
base,705,7428750.061009418
base,706,5579066.212970528
base,707,8893148.339603169
base,708,4681656.389569994
base,709,7275540.33974581
base,710,10179904.466864856
base,711,8857227.767904952
base,712,2753288.9838128234
base,713,3544656.8429824742
base,714,2894652.3530290583
base,715,3697538.317964897
base,716,7599527.275734832
base,717,3959576.0685812198
