scenario,draw,npv_usd
base,422,11013429.291775329
base,423,11967014.636971429
base,424,15880497.635749353
base,425,10363054.270992301
base,426,12081906.051427053
base,427,9193033.057628503
base,428,13104367.924478542
base,429,11043199.14081015
base,430,12376645.412679976
base,431,15200536.169951819
base,432,12550524.844946869
base,433,9709067.482199524
base,434,8323537.853326155
base,435,8044932.342409469
base,436,9622104.476896692
base,437,12535642.866105938
base,438,13632563.845708039
base,439,11423311.216872595
base,440,9390812.119055428
base,441,11407601.918092618
base,442,10548045.647543259
base,443,8785865.59773432
base,444,17787850.81960922
base,445,13105639.718718246
base,446,11058888.469598716
base,447,14995336.895594895
base,448,6071270.221066564
base,449,8994169.013952157
base,450,10775343.876707012
base,451,10097128.068821846
base,452,11548529.019510604
base,453,17730692.063860588
base,454,11233550.09042083
base,455,10974334.485876048
base,456,20870621.282729864
base,457,8250415.5878599705
base,458,15963135.895844663
base,459,11919803.178533155
base,460,9475917.303446071
base,461,13457556.56709301
base,462,9223491.316410203
base,463,11055786.314001402
base,464,7129395.9796325555
base,465,15140665.796061499
base,466,10090826.73335596
base,467,5063197.821346746
base,468,10380976.736935925
base,469,9674484.319060195
base,470,7937787.976777552
base,471,6469397.440771769
base,472,16555978.652226007
base,473,12473123.262866773
base,474,12786391.107459368
base,475,10337280.641265053
base,476,13747206.548428323
base,477,7694905.686408924
base,478,8692149.18188847
base,479,12688510.823245512
base,480,11081896.806337066
base,481,15612005.467397628
base,482,20215177.753795937
base,483,17877738.976291735
base,484,11518176.953113018
base,485,8389934.110753752
base,486,11245363.05059379
base,487,11458982.947584245
base,488,10665209.025316628
base,489,12379502.982608683
base,490,10651518.58317433
base,491,11922560.578222238
base,492,10751489.775931116
base,493,12942727.829582749
base,494,14517906.037611779
base,495,12904449.044495974
base,496,12691117.758048657
base,497,14434350.451814711
base,498,15631916.164630504
base,499,13689489.956873862
base,500,15340363.554511037
base,501,18524594.760416966
base,502,8500295.877660012
base,503,9660259.988478145
base,504,16846240.50873244
